Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"1.400,00",,,"1.400,00",0,0,0,0
2024-04-11,"1.400,00",,,"1.400,00",0,0,0,0
2024-05-11,"1.400,00",,,"1.400,00",0,0,0,0
2024-06-11,"1.400,00",,,"1.400,00",0,0,0,0
2024-07-11,"1.400,00",,,"1.400,00",0,0,0,0
2024-08-11,"1.400,00",,,"1.400,00",0,0,0,0
2024-10-18,"1.400,00",,,"1.400,00",0,0,0,0
2024-10-21,"1.400,00",,,"1.400,00",0,0,0,5.000.100
2024-10-22,"1.400,00",,,"1.400,00",0,0,0,0
2024-10-24,"1.400,00",,,"1.400,00",0,0,0,0
2024-10-25,"1.400,00",,,"1.400,00",0,0,0,0
2024-10-28,"1.400,00",,,"1.400,00",0,0,0,0
2024-10-29,"1.400,00",,,"1.400,00",0,0,0,0
2024-10-30,"1.400,00",,,"1.400,00",0,0,0,0
2024-10-31,"1.400,00",,,"1.400,00",0,0,0,0
2024-11-01,"1.400,00",,,"1.400,00",0,0,0,0
2024-11-04,"1.400,00",,,"1.400,00",0,0,0,0
2024-11-05,"1.400,00",,,"1.400,00",0,0,0,0
2024-11-06,"1.400,00",,,"1.400,00",0,0,0,0
2024-11-07,"1.400,00",,,"1.400,00",0,0,0,0
2024-11-08,"1.400,00",,,"1.400,00",0,0,0,0
,"1.400,00",,,"1.400,00",0,0,0,0
